videoId,start (M:S),end (M:S),duration_sec,tempo_bpm,mfcc_mean,tonnetz_mean,silence_ratio
NZyk1NGs248,12:57,13:04,7.0,122.28,"[-510.9342041015625, 143.372314453125, 32.496368408203125, 30.354694366455078, 56.11725997924805, -13.25949764251709, 26.69123649597168, 3.350170135498047, 12.118194580078125, -3.451674699783325, 8.73962116241455, -11.550230979919434, 3.7348380088806152]","[0.04042426141220186, 0.0942780293931519, 0.04980504547117415, 0.05246287837386211, 0.015530750420707694, 0.0201882666595045]",0.4356
NZyk1NGs248,13:07,13:32,25.0,119.68,"[-465.70233154296875, 109.31316375732422, 15.678443908691406, 24.17061424255371, 39.03749465942383, -6.381804466247559, 15.551164627075195, 10.150649070739746, 10.49584674835205, 4.733829975128174, 6.170214653015137, -2.2797555923461914, 2.7186620235443115]","[-0.004975989304375967, 0.0028493970974312515, 0.0028510237723125883, -0.008190033809161277, -0.006299220216789995, -0.0022429581721624733]",0.4725
NZyk1NGs248,14:21,14:23,2.0,130.81,"[-380.7347412109375, 161.8832550048828, -1.888664722442627, 4.080378532409668, 53.22673034667969, -30.499584197998047, 32.41819763183594, 6.629001140594482, 11.878921508789062, -13.043665885925293, 7.3694939613342285, -11.836716651916504, 0.5151215195655823]","[0.00533719467913946, -0.06358107386919246, 0.04417230591098668, -0.014051387407272381, 0.007149226357995051, 0.012666813392338275]",0.0957
NZyk1NGs248,14:35,14:40,5.0,122.28,"[-456.7685241699219, 149.3394317626953, 8.725151062011719, 20.332332611083984, 49.964942932128906, -23.952987670898438, 30.911176681518555, -0.5449846386909485, 10.608770370483398, 2.928816556930542, 8.054744720458984, -6.14612340927124, 2.9625091552734375]","[0.025861007495322635, -0.031257239972327835, 0.010748193376878266, -0.011335239091368157, 0.008470029879662005, -0.0018640470587765535]",0.3497
NZyk1NGs248,14:46,14:58,12.0,112.5,"[-446.0966796875, 136.8591766357422, 26.208906173706055, 21.247468948364258, 35.049835205078125, -7.742518901824951, 17.002758026123047, 10.074678421020508, 7.099638938903809, 1.1727848052978516, 8.896443367004395, -2.1906018257141113, 2.3732309341430664]","[-0.016726348375759908, -0.021117202179139278, 0.03264638743669897, -0.019796433618606026, -0.0010915350493656802, 0.0004127021129162492]",0.3323
NZyk1NGs248,15:04,15:09,5.0,125.0,"[-492.45941162109375, 149.35084533691406, -2.9214842319488525, 19.468921661376953, 47.83157730102539, -21.129281997680664, 32.34717559814453, 5.317573547363281, 10.705317497253418, 9.147112846374512, 6.9325056076049805, -3.495954990386963, 4.772375583648682]","[0.020289111668954765, 0.00965909528796203, -0.0013204339071557515, 0.012568717974342948, 0.0035663535406008804, -0.006834688739650495]",0.4787
NZyk1NGs248,15:30,15:37,7.0,119.68,"[-467.1609802246094, 138.57505798339844, 6.90939474105835, 27.217905044555664, 41.6676139831543, -20.351163864135742, 26.406314849853516, 4.291604995727539, 8.821053504943848, 9.391619682312012, 7.535334587097168, 1.21858549118042, 3.7840070724487305]","[0.01260355796973804, -0.01878169873042356, -0.010556548687020216, 0.015233511517287931, 0.0030365979011618403, 0.0028879684922750106]",0.4318
NZyk1NGs248,15:39,15:54,15.0,110.29,"[-444.0901184082031, 133.75990295410156, 9.618937492370605, 25.412321090698242, 48.409061431884766, -15.515886306762695, 27.931411743164062, 6.83650541305542, 11.74016284942627, 3.462376117706299, 8.827620506286621, -4.294980049133301, 4.4477386474609375]","[0.029196533131428268, 0.02928702531447571, -0.027715450432515873, -0.02850031191989705, -0.013359412167581646, 0.003516718163113641]",0.385
NZyk1NGs248,19:06,19:25,19.0,110.29,"[-456.6871337890625, 149.59149169921875, 8.821765899658203, 20.388559341430664, 48.824134826660156, -15.0345458984375, 26.380578994750977, 10.472039222717285, 11.044235229492188, 3.8546552658081055, 9.507058143615723, -4.741307258605957, 4.693081378936768]","[-0.010652312024399296, -0.010448323723109406, -0.012068476495517524, 0.028306545828237127, -0.004483723145412211, -0.0012484643670541372]",0.2683
C0KLb_v50-k,0:48,0:51,3.0,130.81,"[-429.9341125488281, 151.7696990966797, 18.5573673248291, 3.35835862159729, 35.227256774902344, -12.126521110534668, 14.308345794677734, -6.802390098571777, 4.441688537597656, -1.882542371749878, 4.20402717590332, -9.368562698364258, 5.847536087036133]","[-0.0074717176755566455, 0.001086146712868225, 0.04077007251230866, -0.015241660110712296, -0.0028640546507646527, 0.013373073713802697]",0.4067
